Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20190204,03:50:00,473.509999036789,1.14481,1.14481,1.14461,1.14474,EURUSD,
20190204,03:55:00,809.209999322891,1.14475,1.14488,1.14475,1.14484,EURUSD,
20190204,04:00:00,879.769997596741,1.14485,1.1449,1.14467,1.14486,EURUSD,
20190204,04:05:00,532.439999699593,1.14485,1.1449,1.14478,1.1449,EURUSD,
20190204,04:10:00,383.270000100136,1.1449,1.14491,1.14475,1.14476,EURUSD,
20190204,04:15:00,564.199998140335,1.14475,1.14485,1.14468,1.14473,EURUSD,
20190204,04:20:00,875.60999584198,1.14473,1.14477,1.14452,1.14463,EURUSD,
20190204,04:25:00,920.490000605583,1.14464,1.14465,1.14445,1.14449,EURUSD,
20190204,04:30:00,812.169998288155,1.14447,1.14457,1.14433,1.14439,EURUSD,
20190204,04:35:00,569.229997396469,1.1444,1.14455,1.14434,1.14454,EURUSD,
20190204,04:40:00,731.230000376701,1.14454,1.14455,1.14441,1.14441,EURUSD,
20190204,04:45:00,623.709996342659,1.1444,1.14442,1.14426,1.14435,EURUSD,
20190204,04:50:00,548.140000462532,1.14434,1.14435,1.14412,1.14424,EURUSD,
20190204,04:55:00,540.369996786118,1.14424,1.1443,1.14422,1.14424,EURUSD,
20190204,05:00:00,677.689998030663,1.14424,1.14436,1.14424,1.14429,EURUSD,
20190204,05:05:00,231.349999070168,1.1443,1.14442,1.14429,1.14434,EURUSD,
20190204,05:10:00,646.459999918938,1.14433,1.14452,1.1443,1.14445,EURUSD,
20190204,05:15:00,914.539999485016,1.14445,1.14461,1.14444,1.14455,EURUSD,
20190204,05:20:00,429.759999752045,1.14455,1.14455,1.14448,1.14452,EURUSD,
20190204,05:25:00,571.569997549057,1.14452,1.14456,1.1444,1.14441,EURUSD,
20190204,05:30:00,341.06999874115,1.14441,1.14445,1.14434,1.14444,EURUSD,
20190204,05:35:00,541.68999683857,1.14445,1.14449,1.1443,1.14439,EURUSD,
20190204,05:40:00,423.909998297691,1.14439,1.14445,1.14439,1.1444,EURUSD,
20190204,05:45:00,308.739997982979,1.1444,1.14445,1.14437,1.14443,EURUSD,
20190204,05:50:00,382.810000777245,1.14444,1.14451,1.14443,1.14449,EURUSD,
20190204,05:55:00,704.409995436668,1.1445,1.14455,1.14427,1.14434,EURUSD,
20190204,06:00:00,383.179998397827,1.14436,1.14438,1.14427,1.14428,EURUSD,
20190204,06:05:00,534.429998636246,1.14429,1.14438,1.14423,1.14433,EURUSD,
20190204,06:10:00,368.319998621941,1.14434,1.14439,1.14429,1.14433,EURUSD,
20190204,06:15:00,558.439999103546,1.14434,1.14434,1.14418,1.14432,EURUSD,
20190204,06:20:00,465.160000562668,1.14432,1.14444,1.14429,1.14438,EURUSD,
20190204,06:25:00,730.909999847412,1.14439,1.14439,1.14417,1.14419,EURUSD,
20190204,06:30:00,985.269998550415,1.14419,1.14421,1.14395,1.14419,EURUSD,
20190204,06:35:00,760.319998145103,1.14419,1.14419,1.14398,1.1441,EURUSD,
20190204,06:40:00,596.749996066093,1.14409,1.14411,1.14403,1.14408,EURUSD,
20190204,06:45:00,839.000002264977,1.14409,1.14419,1.14401,1.14401,EURUSD,
20190204,06:50:00,895.099998354912,1.14403,1.14435,1.14401,1.14435,EURUSD,
20190204,06:55:00,977.99999666214,1.14436,1.14443,1.14433,1.14442,EURUSD,
20190204,07:00:00,1553.83998811245,1.14441,1.14441,1.14417,1.1443,EURUSD,
20190204,07:05:00,846.309998512268,1.1443,1.14449,1.14418,1.14448,EURUSD,
20190204,07:10:00,1199.69999337196,1.14449,1.14452,1.14429,1.14439,EURUSD,
20190204,07:15:00,991.079994678497,1.14439,1.14452,1.1443,1.14449,EURUSD,
20190204,07:20:00,1299.88999426365,1.14449,1.14451,1.14428,1.14434,EURUSD,
20190204,07:25:00,1452.39999854565,1.14435,1.14435,1.14409,1.14428,EURUSD,
20190204,07:30:00,1535.28000056744,1.14428,1.1443,1.14398,1.144,EURUSD,
20190204,07:35:00,1446.04999470711,1.14399,1.14416,1.1438,1.14389,EURUSD,
20190204,07:40:00,2134.79999613762,1.14388,1.14427,1.14379,1.14409,EURUSD,
20190204,07:45:00,1547.57999384403,1.14409,1.14431,1.14396,1.14425,EURUSD,
20190204,07:50:00,2016.35000050068,1.14425,1.14453,1.14423,1.14443,EURUSD,
20190204,07:55:00,1682.93999838829,1.14443,1.14447,1.14423,1.14424,EURUSD,
20190204,08:00:00,2653.05999743938,1.14425,1.14447,1.14386,1.14432,EURUSD,
20190204,08:05:00,2547.89999079704,1.14432,1.14511,1.14421,1.14505,EURUSD,
20190204,08:10:00,2841.79999673367,1.14504,1.14533,1.14469,1.14476,EURUSD,
20190204,08:15:00,1862.83999526501,1.14477,1.14495,1.14469,1.1449,EURUSD,
20190204,08:20:00,2435.85998618603,1.14491,1.14508,1.1447,1.14471,EURUSD,
20190204,08:25:00,2645.13999044895,1.14472,1.14483,1.14439,1.14448,EURUSD,
20190204,08:30:00,2628.44999444485,1.14448,1.14485,1.1444,1.14484,EURUSD,
20190204,08:35:00,1965.12999796867,1.14484,1.14492,1.14464,1.14478,EURUSD,
20190204,08:40:00,1636.45999419689,1.14478,1.14484,1.1447,1.14472,EURUSD,
20190204,08:45:00,2568.74999308586,1.14473,1.14501,1.1447,1.14497,EURUSD,
20190204,08:50:00,1956.93999791145,1.14496,1.14505,1.14487,1.14502,EURUSD,
20190204,08:55:00,1929.39999496937,1.14502,1.14528,1.14501,1.14508,EURUSD,
20190204,09:00:00,2099.08999502659,1.14509,1.1452,1.1449,1.14494,EURUSD,
